uid,area,titulo,promesa,avance_total,coherencia,,,boletin,titulo_proyecto,link,1° tramite,veto,insistencia,2°-3° tramite,comision_mixta,tribunal_constitucional,aprobacion_presidencial,promulgado,rechazado/retirado,nombre_avance,avance,simple,suma,inmediata,total_urgencias,marginal,parcial_minima,parcial_alta,total,escala_de_coherencia,justificacion_avance,justificacion_nota,ja_porque,jn_porque
27,Justicia y DDHH,Modernización sistema de Notarios y Conservadores,"Este año, ingresaremos el proyecto de ley que moderniza el sistema de notarios y conservadores",0%,1,,,,,,,,,,,,,,,,0,,,,0,,,,,1,,,No se conocen proyectos de ley asociados a esta promesa,No se conocen proyectos de ley asociados a esta promesa
28,Justicia y DDHH,Crea la Subsecretaría de Derechos Humanos,"En marzo pasado presentamos un proyecto de ley que crea la Subsecretaría de Derechos Humanos, cumpliendo así otro compromiso de nuestro programa de Gobierno.",40%,1,,,8207-07,Crea la Subsecretaría de Derechos Humanos y establece adecuaciones en la Ley Orgánica del Ministerio de Justicia.,https://www.camara.cl/pley/pley_detalle.aspx?prmID=8605&prmBoletin=8207-07,1,,,,,,,,,Primer Tramite,"0,4",3,14,2,19,,,,,1,,,El proyecto de ley asociado se encuentra en primer trámite constitucional,No se conocen proyectos de ley asociados a esta promesa
29,Justicia y DDHH,Perfeccionamiento de mecanismos para el cobro de pension alimenticia,"Lamentablemente, solo el año pasado nuestros tribunales recibieron más de 200 mil denuncias por no pago de pensiones alimenticias. Para enfrentar este verdadero drama, presentaremos un proyecto de ley que busca perfeccionar sus mecanismos de retención y cobro, para que los padres también se hagan responsables de sus hijos.",0%,1,,,,,,,,,,,,,,,,0,,,,0,,,,,1,,,No se conocen proyectos de ley asociados a esta promesa,No se conocen proyectos de ley asociados a esta promesa
30,Medio ambiente,Crea los Tribunales Ambientales,Por eso estamos fortaleciendo nuestra institucionalidad ambiental a través del nuevo Ministerio de Medio Ambiente (...) y la pronta creación de los Tribunales Ambientales,100%,1,,,6747-12,Crea el Tribunal Ambiental,https://www.camara.cl/pley/pley_detalle.aspx?prmID=7144&prmBoletin=6747-12,,,,,,,,1,,Promulgado,1,,,,0,,,,,1,,,El proyecto de ley asociado se encuentra despachado y es Ley de la República,No se conocen proyectos de ley asociados a esta promesa
31,Medio ambiente,Aumenta las sanciones para quienes provoquen incendios u otros estragos,"Junto con informar y educar a los visitantes de nuestros parques,hemos presentado un proyecto de ley que incrementa significativamente las penas de cárcel a quienes causen estos desastres (incendios).",100%,1,,,8155-01,Aumenta las sanciones a responsables de incendios forestales,https://www.camara.cl/pley/pley_detalle.aspx?prmID=8553&prmBoletin=8155-01,,,,,,,,1,,Promulgado,1,1,14,,15,,,,,1,,,El proyecto de ley asociado se encuentra despachado y es Ley de la República,No se conocen proyectos de ley asociados a esta promesa
32,Medio ambiente,Crea los servicios de Parques y Biodiversidad,"Por eso estamos fortaleciendo nuestra institucionalidad ambiental a través del nuevo Ministerio de Medio Ambiente, (...) a los que seguirá el Servicio de Parques y Biodiversidad",40%,1,,,7487-12,Proyecto de ley que crea el Servicio de Biodiversidad y Áreas Silvestres Protegidas y el Sistema Nacional de Áreas Silvestres Protegidas.,https://www.camara.cl/pley/pley_detalle.aspx?prmID=7888&prmBoletin=7487-12,1,,,,,,,,,Primer Tramite,"0,4",,,,0,,,,,1,,,El proyecto de ley asociado se encuentra en primer trámite constitucional,No se conocen proyectos de ley asociados a esta promesa
33,Medio ambiente,"Introduce ""impuestos verdes"" mediante una modificación tributaria","Seguimos ampliando los programas de recambio de calefactores e incorporaremos a nuestro sistema tributario impuestos verdes para desincentivar aquellos bienes que dañan el medio ambiente y afectan nuestra calidad de vida, así como subsidios verdes para promover su reciclaje.",0%,1,,,8269-05,Perfecciona la legislación tributaria y financia la reforma educacional.,https://www.camara.cl/pley/pley_detalle.aspx?prmID=8660&prmBoletin=8269-05,,,,,,,,,1,Rechazado Retirado,0,2,1,,3,,,,,1,,,No se conocen proyectos de ley asociados a esta promesa,No se conocen proyectos de ley asociados a esta promesa
34,Minería,Crea el Fondo de Desarrollo del Norte,"Enviamos recientemente un proyecto de ley que crea el Fondenor, con un aporte total de $ 108 mil MM, para reconocer la contribución y promover el bienestar en las comunas mineras del país, teniendo claro que los recursos naturales de Chile le pertenecen a todos los chilenos.",40%,1,,,8272-08,Crea y destina recursos para el Fondo de Desarrollo del Norte y de las Comunas Mineras de Chile.,https://www.camara.cl/pley/pley_detalle.aspx?prmID=8658&prmBoletin=8272-08,1,,,,,,,,,Primer Tramite,"0,4",10,4,,14,,,,,1,,,El proyecto de ley asociado se encuentra en primer trámite constitucional,No se conocen proyectos de ley asociados a esta promesa
35,Economía y Comercio,Modifica la Ley General de Pesca y Acuicultura,"Ya ingresamos al Congreso el proyecto que modifica la Ley de Pesca y Acuicultura, para proteger y asegurar la sustentabilidad del recurso pesquero y mejorar la complementaridad entre la pesca artesanal, industrial y de investigación.",100%,1,,,8091-21,"Modifica en el ámbito de la sustentabilidad de recursos hidrobiológicos, acceso a la actividad pesquera industrial y artesanal y regulaciones para la investigación y fiscalización, la ley General de Pesca y Acuicultura contenida en la ley N° 18.892 y sus modificaciones.",https://www.camara.cl/pley/pley_detalle.aspx?prmID=8488&prmBoletin=8091-21,,,,,,,,1,,Promulgado,1,1,6,5,12,,,,,1,,,El proyecto de ley asociado se encuentra despachado y es Ley de la República,No se conocen proyectos de ley asociados a esta promesa
36,Economía y Comercio,Crea el Instituto de Desarrollo de Pesca Artesanal ,"Por eso hoy quiero anuncia el envío de un proyecto de ley que creará el Instituto de Desarrollo de la Pesca Artesanal, equivalente al Indap agrícola.",40%,1,,,8865-21,"Crea el Instituto de Desarrollo de la Pesca Artesanal y de la Acuicultura de Pequeña Escala, IDEPA.",https://www.camara.cl/pley/pley_detalle.aspx?prmID=9268&prmBoletin=8865-21,1,,,,,,,,,Primer Tramite,"0,4",,,,0,,,,,1,,,El proyecto de ley asociado se encuentra en primer trámite constitucional,No se conocen proyectos de ley asociados a esta promesa
