uid,area,titulo,promesa,cumplimiento,coherencia,boletin,titulo_proyecto,link,1er_tramite,veto,insistencia,2°-3° tramite,comision mixta,tribunal constitucional,aprob_presidencial ,promulgado,rechazado/retirado,nombre_avance,avance,simple,suma,inmediata,total,marginal ,parcial_minima,parcial_alta,total,escala_de_coherencia,justificacion_avance,justificacion_nota,ja_porque,jn_porque
38,Justicia y DDHH,Modifica ley de sociedad conyugal,"Presentamos a este Congreso el proyecto de ley que modifica la sociedad conyugal, reconoce la plena capacidad de la mujer en la administración de sus bienes, asegura una efectiva igualdad entre ambos cónyuges y garantiza una adecuada protección económica para la mujer",40%,4,7567-07,"Modifica Código Civil y otras leyes, regulando el régimen patrimonial de sociedad conyugal",https://www.camara.cl/pley/pley_detalle.aspx?prmID=7957&prmBoletin=7567-07,1,,,,,,,,,Primer Tramite,"0,4",7,6,,13,,,,1,4,,,El proyecto de ley asociado se encuentra en primer trámite constitucional,El proyecto de ley es totalmente coherente con la promesa realizada
39,Salud,Eliminación gradual de descuento de 7 por ciento de salud en adultos mayores,"Es importante que la Cámara de Diputados haya aprobado en general el proyecto que elimina o reduce gradualmente el descuento del siete por ciento de salud, a más de 770 mil adultos mayores de clase media y vulnerables",100%,4,7570-11,"Exime, total o parcialmente, de la obligación de cotizar para salud a los pensionados que se indica",https://www.camara.cl/pley/pley_detalle.aspx?prmID=7958&prmBoletin=7570-11,,,,,,,,1,,Promulgado,1,,4,2,6,,,,1,4,,,El proyecto de ley asociado se encuentra despachado y es Ley de la República,El proyecto de ley es totalmente coherente con la promesa realizada
40,Pueblos Indígenas,Reconocimiento constitucional de pueblos originarios,"Pusimos en marcha una agenda a favor de nuestros pueblos originarios, que incluye su reconocimiento constitucional",40%,4,5522-07,Reconoce a los pueblos indígenas de Chile,https://www.camara.cl/pley/pley_detalle.aspx?prmID=5903&prmBoletin=5522-07,1,,,,,,,,,Primer Tramite,"0,4",,22,1,23,,,,1,4,,,El proyecto de ley asociado se encuentra en primer trámite constitucional,El proyecto de ley es totalmente coherente con la promesa realizada
41,Pueblos Indígenas,"Reforma de CONADI, Programa Orígenes y Fondo de Desarrollo Indígena","Una completa reforma y fortalecimiento de las instituciones y programas orientados hacia ellos, como la Conadi, el Programa Orígenes y los Fondos de Desarrollo Indígena",0%,1,,"Sobre la reforma de la CONADI, Programa Orígenes y los Fondos de Desarrollo Indígena",,,,,,,,,,,,0,,,,0,,,,,1,,,No se conocen proyectos de ley asociados a esta promesa,No se conocen proyectos de ley asociados a esta promesa
42,Justicia y DDHH,Fortalecimiento de libertad religiosa e igualdad de culto,"También estamos comprometidos con el fortalecimiento de la libertad religiosa y la igualdad de cultos, para remover las trabas legales que aún susbsisten, especialmente en escuelas, hospitales, cárceles, instituciones de educación superior y en el acceso a subsidios estatales",0%,1,,Sobre el fortalecimiento de la libertad religiosa,,,,,,,,,,,,0,,,,0,,,,,1,,,No se conocen proyectos de ley asociados a esta promesa,No se conocen proyectos de ley asociados a esta promesa
43,Economía y Comercio,Creación Sernac financiero,"Se encuentra en avanzado trámite el proyecto de ley que crea el Sernac Financiero, para evitar cobros abusivos en bancos e instituciones financieras",100%,4,7094-03,"Modifica ley N° 19.496, sobre Protección de los Derechos de los Consumidores, para dotar de atribuciones en materias financieras, entre otras, al Servicio Nacional del Consumidor",https://www.camara.cl/pley/pley_detalle.aspx?prmID=7491&prmBoletin=7094-03,,,,,,,,1,,Promulgado,1,6,13,6,25,,,,1,4,,,El proyecto de ley asociado se encuentra despachado y es Ley de la República,El proyecto de ley es totalmente coherente con la promesa realizada
44,Economía y Comercio,Disminución de seguros de crédito hipotecario,Proyecto para disminuir los costos de los seguros de los créditos hipotecarios. Esta medida favorecerá a cerca de un millón 250 mil familias,100%,4,7440-05,Moderniza y fomenta la competencia del sistema financiero,https://www.camara.cl/pley/pley_detalle.aspx?prmID=7837&prmBoletin=7440-05,,,,,,,,1,,Promulgado,1,3,10,,13,,,,1,4,,,El proyecto de ley asociado se encuentra despachado y es Ley de la República,El proyecto de ley es totalmente coherente con la promesa realizada
45,Economía y Comercio,Creación estatuto Pyme 2.0,La agenda de impulso competitivo incorpora la creación de un nuevo estatuto Pyme 2.0,0%,1,,Sobre la creación de estatuto Pyme 2.0,,,,,,,,,,,,0,,,,0,,,,,1,,,No se conocen proyectos de ley asociados a esta promesa,No se conocen proyectos de ley asociados a esta promesa
46,Justicia y DDHH,Modificacón de ley antiterrorista,Ingresamos un proyecto de ley para adecuar nuestra legislación antiterrorista a los estándares propios de democracias desarrolladas,100%,2,7529-07,Proyecto de ley que excluye a los menores de edad de la legislación sobre conductas terroristas,https://www.camara.cl/pley/pley_detalle.aspx?prmID=7924&prmBoletin=7529-07,,,,,,,,1,,Promulgado,1,,,,0,,1,,,2,Todavía no garantiza un debido proceso en la aplicación de la ley anti terrorista,,El proyecto de ley asociado se encuentra despachado y es Ley de la República,El proyecto de ley es marginalmente coherente con la promesa realizada
47,Justicia y DDHH,Creación Subsecretaría de Derechos Humanos,"Enviaremos a este Congreso un proyecto de ley que crea la Subsecretaría de Derechos Humanos, como parte del nuevo Ministerio de Justicia y Derechos Humanos",40%,4,8207-07,Crea la Subsecretaría de Derechos Humanos y establece adecuaciones en la Ley Orgánica del Ministerio de Justicia,https://www.camara.cl/pley/pley_detalle.aspx?prmID=8605&prmBoletin=8207-07,1,,,,,,,,,Primer Tramite,"0,4",2,,,2,,,,1,4,,,El proyecto de ley asociado se encuentra en primer trámite constitucional,El proyecto de ley es totalmente coherente con la promesa realizada
