uid,area,titulo,promesa,avance_total,boletin,titulo_proyecto,link,1° tramite,veto,insistencia,2°-3° tramite,comision_mixta,tribunal_constitucional,aprobacion_presidencial,promulgado,rechazado/retirado,nombre_avance,avance,simple,suma,inmediata,total_urgencias,ja_porque
49,Defensa,Reemplazo Ley Reservada del Cobre,Reemplazaremos la actual Ley Reservada del Cobre por un sistema plurianual y con un fondo especial para enfrentar eventualidades. ,70%,7678-02,"Establece nuevo
 mecanismo de
 financiamiento, de las
 capacidades estratégicas
 de la defensa nacional",http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=7678-02,,,,1,,,,,,Segundo Tramite,"0,7",,9,,9,El proyecto de ley asociado se encuentra en segundo trámite constitucional
50,Defensa,Modernización Carrera Militar,"Modernizaremos y extenderemos la carrera militar, de forma de utilizar con mayor eficiencia su valioso recurso humano, hacerlo más coherente con las necesidades de la defensa nacional y contener el costo previsional.",40%,12391-02,Establece una modernización de la carrera profesional para las Fuerzas Armadas,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=12391-02,1,,,,,,,,,Primer Tramite,"0,4",,,,0,El proyecto de ley asociado se encuentra en primer trámite constitucional
51,Estado,Nuevo Sistema Nacional de Emergencia y Protección Civil,"Impulsaremos la promulgación e implementación del proyecto de ley, presentado durante nuestro primer Gobierno, que crea un nuevo Sistema Nacional de Emergencia y Protección Civil y reemplaza a la actual Onemi por la Agencia Nacional de Protección Civil.",70%,7550-06,"Establece el Sistema
 Naciona de Emergencia y
 Proteccion Civil y crea la
 Agencia Nacional de
 Proteccion Civil.",http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=7550-06,,,,1,,,,,,Segundo Tramite,"0,7",4,,,4,El proyecto de ley asociado se encuentra en segundo trámite constitucional
52,Pueblos Indígenas,Reconocimiento constitucional pueblos originarios,"En el campo de nuestros pueblos originarios, impulsaremos su desarrollo económico y social y su reconocimiento constitucional.  ",0%,,,,,,,,,,,,,,0,,,,0,No se conocen proyectos de ley asociados a esta promesa.
53,Justicia y Derechos Humanos,Reforma al sistema de Justicia Penal,Modernización de la Reforma Procesal Penal,0%,,,,,,,,,,,,,,0,,,,0,No se conocen proyectos de ley asociados a esta promesa.
54,Justicia y Derechos Humanos,Reforma al sistema de Justicia Civil,Modernizción Procesal Civil,0%,,,,,,,,,,,,,,0,,,,0,No se conocen proyectos de ley asociados a esta promesa.
55,Justicia y Derechos Humanos,Modernización Código Penal,Modernización Código Penal,0%,,,,,,,,,,,,,,0,,,,0,No se conocen proyectos de ley asociados a esta promesa.
56,Justicia y Derechos Humanos,Tribunales Contensiosos Administrativos,Impulsaremos los Tribunales Contenciosos Administrativos.  ,0%,,,,,,,,,,,,,,0,,,,0,No se conocen proyectos de ley asociados a esta promesa.
57,Agricultura,Reforma Código de Aguas,Contribuir a fortalecer la disponibilidad y la certeza jurídica del agua.,70%,7543-12,Reforma el Código de Aguas.,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=7543-12,,,,1,,,,,,Segundo Tramite,"0,7",,,,0,El proyecto de ley asociado se encuentra en segundo trámite constitucional
58,Vivienda y Urbanismo,Integración Social y urbana,Transformar a nuestras ciudades y edificios en hábitats más amigables para nuestros discapacitados e integrar más y mejor a aquellos sectores que la sociedad ha marginado e invisibilizado.,40%,12288-14,Modifica diversos cuerpos normativos en materia de integración social y urbana,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=12288-14,1,,,,,,,,,Primer Tramite,"0,4",,,,0,El proyecto de ley asociado se encuentra en primer trámite constitucional
59,Justicia y Derechos Humanos,Roforma Notarías,"Mejorar la calidad de vida de los ciudadanos a través de múltiples medidas
 como: digitalizar o eliminar trámites notariales innecesarios.",40%,12092-07,Modifica el sistema registral y notarial en sus aspectos orgánicos y funcionales,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=12092-07,1,,,,,,,,,Primer Tramite,"0,4",1,12,,13,El proyecto de ley asociado se encuentra en primer trámite constitucional
