uid,area,titulo,promesa,avance,coherencia,boletin,titulo_del_proyecto,link,1° tramite,veto,insistencia,2°-3° tramite,comision_mixta,tribunal_constitucional,aprob_presidencial,promulgado,rechazado/retirado,nombre_avance,avance,simple,suma,inmediata,total_urgencias,marginal,parcial_minima,parcial_alta,total,escala_de_coherencia,justificacion_avance,justificacion_nota,ja_porque,jn_porque
39,Equidad de Género,Presenta proyecto de ley que modifica la sociedad conyugal,"Presentamos a este Congreso el proyecto de ley que modifica la sociedad conyugal, reconoce la plena capacidad de la mujer en la administración de sus bienes, asegura una efectiva igualdad entre ambos cónyuges y garantiza una adecuada protección económica para la mujer",40%,4,7727-18,Modifica el Código Civil y otras leyes en el Régimen de Sociedad Conyugal,https://www.camara.cl/pley/pley_detalle.aspx?prmID=8124&prmBoletin=7727-18,1,,,,,,,,,Primer Tramite,"0,4",4,6,,10,,,,1,4,,,El proyecto de ley asociado se encuentra en primer trámite constitucional,El proyecto de ley es totalmente coherente con la promesa realizada
1,Estado,Crea la Agencia Nacional de Protección Civil,"Para eso enviamos a este Congreso el proyecto de ley que crea la Agencia Nacional de Protección Civil, que reemplazará a la antigua ONEMI, y estará dotada de los necesarios recursos humanos y de tecnología de última generación. Este proyecto también considera la participación inmediata de nuestras Fuerzas Armadas y de Orden en la insustituible misión de proteger a la población, sin que sea necesario decretar Estado de Excepción Constitucional, como ocurre en la actualidad",40%,4,7550-06,Establece el Sistema Nacional de Emergencia y Protección Civil y crea la Agencia Nacional de Protección Civil,https://www.camara.cl/pley/pley_detalle.aspx?prmID=7940&prmBoletin=7550-06,1,,,,,,,,,Primer Tramite,"0,4",4,13,,17,,,,1,4,,,El proyecto de ley asociado se encuentra en primer trámite constitucional,El proyecto de ley es totalmente coherente con la promesa realizada
29,Estado,Potencia el desarrollo de las regiones extremas,"Para potenciar en forma muy especial el desarrollo de las regiones extremas, estamos revisando y fortaleciendo los incentivos tributarios",40%,4,8011-05,Establece incentivos especiales para las zonas extremas del país,https://www.camara.cl/pley/pley_detalle.aspx?prmID=8403&prmBoletin=8011-05,1,,,,,,,,,Primer Tramite,"0,4",,6,,6,,,,1,4,,,El proyecto de ley asociado se encuentra en primer trámite constitucional,El proyecto de ley es totalmente coherente con la promesa realizada
30,Estado,Incorpora la elección directa de los consejeros regionales,"Potenciaremos y modernizaremos los gobiernos regionales y comunales, incorporando la elección directa de los consejeros regionales",40%,4,7923-06,Establece elección directa de los Consejeros Regionales,https://www.camara.cl/pley/pley_detalle.aspx?prmID=8317&prmBoletin=7923-06,1,,,,,,,,,Primer Tramite,"0,4",4,5,,9,,,,1,4,,,El proyecto de ley asociado se encuentra en primer trámite constitucional,El proyecto de ley es totalmente coherente con la promesa realizada
31,Estado,Extiende la Alta Dirección Pública para los cargos claves,Potenciaremos y modernizaremos los gobiernos regionales y comunales (…) extendiendo la Alta Dirección Pública para los cargos claves,40%,3,7963-06,Relativo al fortalecimiento de la regionalización del país,https://www.camara.cl/pley/pley_detalle.aspx?prmID=8381&prmBoletin=7963-06,1,,,,,,,,,Primer Tramite,"0,4",4,5,,9,,,1,,3,,"Proyecto relativo sólo al nivel regional, no al comunal",El proyecto de ley asociado se encuentra en primer trámite constitucional,El proyecto de ley es parcialmente coherente con la promesa realizada
32,Estado,Perfecciona las declaraciones de patrimonio de intereses de las autoridades públicas y crea la figura de Fideicomiso ciego,Enviamos a este Congreso el proyecto de ley que perfecciona las declaraciones de patrimonio de intereses de las autoridades públicas y crea la figura del Fideicomiso Ciego,70%,4,7616-06,Probidad en la Función Pública,https://www.camara.cl/pley/pley_detalle.aspx?prmID=8012&prmBoletin=7616-06,,,,1,,,,,,Segundo Tramite,"0,7",9,4,,13,,,,1,4,,,El proyecto de ley asociado se encuentra en segundo trámite constitucional,El proyecto de ley es totalmente coherente con la promesa realizada
37,Infancia y Juventud,Reformula el actual SENAME,"Para ayudar a los niños en situación de fragilidad, presentaremos el proyecto de ley que reformula el actual Sename, creando dos instituciones: el Servicio Nacional de la Infancia y la Adolescencia y el nuevo Servicio Nacional de Menores, enfocado exclusivamente en la atención y rehabilitación de niños y adolescentes que hayan infringido la ley",0%,1,,,,,,,,,,,,,,0,,,,0,,,,,1,,,No se conocen proyectos de ley asociados a esta promesa,No se conocen proyectos de ley asociados a esta promesa
48,Justicia y DDHH,Adecua legislación antiterrorista a los estándares propios de democracias desarrolladas,Ingresamos un proyecto de ley para adecuar nuestra legislación antiterrorista a los estándares propios de democracias desarrolladas,100%,1,7529-07,Proyecto de ley que excluye a los menores de edad de la legislación sobre conductas terroristas,https://www.camara.cl/pley/pley_detalle.aspx?prmID=7924&prmBoletin=7529-07,,,,,,,,1,,Promulgado,1,,,,0,1,,,,1,,Todavía no garantiza un debido proceso en la aplicación de la ley anti terrorista,El proyecto de ley asociado se encuentra despachado y es Ley de la República,No se conocen proyectos de ley asociados a esta promesa
49,Justicia y DDHH,Crea la Subsecretaría de Derechos Humanos,"Enviaremos a este Congreso un proyecto de ley que crea la Subsecretaría de Derechos Humanos, como parte del nuevo Ministerio de Justicia y Derechos Humanos",40%,4,8207-07,Crea la Subsecretaría de Derechos Humanos y establece adecuaciones en la Ley Orgánica del Ministerio de Justicia,https://www.camara.cl/pley/pley_detalle.aspx?prmID=8605&prmBoletin=8207-07,1,,,,,,,,,Primer Tramite,"0,4",2,,,2,,,,1,4,,,El proyecto de ley asociado se encuentra en primer trámite constitucional,El proyecto de ley es totalmente coherente con la promesa realizada
66,Medio Ambiente,Suma a la institucionalidad ambiental los nuevos tribunales ambientales especializados,A ellos [institucionalidad ambiental] se sumarán muy pronto los nuevos tribunales ambientales especializados,90%,4,6747-12,Crea el Tribunal Ambiental,https://www.camara.cl/pley/pley_detalle.aspx?prmID=7144&prmBoletin=6747-12,,,,,,,1,,,Aprobación Presidencial,"0,9",,,1,1,,,,1,4,,,El proyecto de ley se encuentra en proceso de ser promulgado,El proyecto de ley es totalmente coherente con la promesa realizada
67,Medio Ambiente,Suma a la institucionalidad ambiental el Servicio de Biodiversidad y Áreas Silvestres Protegidas,A ellos [institucionalidad ambiental] se sumarán muy pronto el Servicio de Biodiversidad y Áreas Silvestres Protegidas,40%,4,7487-12,Proyecto de ley que crea el Servicio de Biodiversidad y Áreas Silvestres Protegidas y el Sistema Nacional de Áreas Silvestres Protegidas,https://www.camara.cl/pley/pley_detalle.aspx?prmID=7888&prmBoletin=7487-12,1,,,,,,,,,Primer Tramite,"0,4",1,,,1,,,,1,4,,,El proyecto de ley asociado se encuentra en primer trámite constitucional,El proyecto de ley es totalmente coherente con la promesa realizada
68,Medio Ambiente,Envía proyecto de Ley general de residuos,"Enviaremos a este Congreso un proyecto de Ley general de residuos, para fomentar el reciclaje y la reutilización de los residuos sólidos",0%,1,,,,,,,,,,,,,,0,,,,0,,,,,1,,,No se conocen proyectos de ley asociados a esta promesa,No se conocen proyectos de ley asociados a esta promesa
60,Minería,Envía proyecto de ley que crea superintendencia especializada en el control de riesgos,"En los próximos meses enviaremos a este Congreso un proyecto de ley que crea una superintendencia especializada en el control de riesgos y fiscalización de las normas sobre seguridad minera, además de establecer comités paritarios en todas las empresas para prevenir accidentes laborales",40%,3,7848-08,Sobre Seguridad e Institucionalidad Minera,https://www.camara.cl/pley/pley_detalle.aspx?prmID=8245&prmBoletin=7848-08,1,,,,,,,,,Primer Tramite,"0,4",2,,,2,,,1,,3,,No establece comités paritarios,El proyecto de ley asociado se encuentra en primer trámite constitucional,El proyecto de ley es parcialmente coherente con la promesa realizada
61,Minería,Aprueba el proyecto que regula el cierre de faenas después del cese de su operación,"Esperamos que sea aprobado el proyecto que regula el cierre de faenas después del cese de su operación, a fin de evitar que explotaciones temporales produzcan daños permanentes al medio ambiente",100%,4,6415-08,Regula el cierre de faenas e instalaciones mineras,https://www.camara.cl/pley/pley_detalle.aspx?prmID=6805&prmBoletin=6415-08,,,,,,,,1,,Promulgado,1,,2,,2,,,,1,4,,,El proyecto de ley asociado se encuentra despachado y es Ley de la República,El proyecto de ley es totalmente coherente con la promesa realizada
62,Minería,Fusiona los actuales ministerios de Minería y Energía,Enviaremos un proyecto de ley para fusionar los actuales ministerios de Minería y Energía,0%,1,,,,,,,,,,,,,,0,,,,0,,,,,1,,,No se conocen proyectos de ley asociados a esta promesa,No se conocen proyectos de ley asociados a esta promesa
42,Pueblos Indígenas,Pone en marcha agenda a favor de pueblos originarios,"Pusimos en marcha una agenda a favor de nuestros pueblos originarios, que incluye su reconocimiento constitucional",40%,4,5522-07,Reconoce a los pueblos indígenas de Chile,https://www.camara.cl/pley/pley_detalle.aspx?prmID=5903&prmBoletin=5522-07,1,,,,,,,,,Primer Tramite,"0,4",,22,1,23,,,,1,4,,,El proyecto de ley asociado se encuentra en primer trámite constitucional,El proyecto de ley es totalmente coherente con la promesa realizada
43,Pueblos Indígenas,"Reforma la CONADI, el programa Orígenes y los Fondos de Desarrollo Indigena","Una completa reforma y fortalecimiento de las instituciones y programas orientados hacia ellos, como la Conadi, el Programa Orígenes y los Fondos de Desarrollo Indígena",0%,1,,,,,,,,,,,,,,0,,,,0,,,,,1,,,No se conocen proyectos de ley asociados a esta promesa,No se conocen proyectos de ley asociados a esta promesa
44,Pueblos Indígenas,Fortalece la libertad religiosa y la igualdad de cultos,"También estamos comprometidos con el fortalecimiento de la libertad religiosa y la igualdad de cultos, para remover las trabas legales que aún susbsisten, especialmente en escuelas, hospitales, cárceles, instituciones de educación superior y en el acceso a subsidios estatales",0%,1,,,,,,,,,,,,,,0,,,,0,,,,,1,,,No se conocen proyectos de ley asociados a esta promesa,No se conocen proyectos de ley asociados a esta promesa
14,Salud,Envía Proyecto de Ley de Tabaco,Proyecto de Ley de Tabaco,70%,4,7914-11,"Modifica Ley N° 19.419, en materia de ambientes libres de humo de tabaco",https://www.camara.cl/pley/pley_detalle.aspx?prmID=8311&prmBoletin=7914-11,,,,1,,,,,,Segundo Tramite,"0,7",2,6,,8,,,,1,4,,,El proyecto de ley asociado se encuentra en segundo trámite constitucional,El proyecto de ley es totalmente coherente con la promesa realizada
